date,a_instance_count,a_cpu_usage,a_mem_usage,b_instance_count,b_cpu_usage,b_mem_usage,c_instance_count,c_cpu_usage,c_mem_usage,d_instance_count,d_cpu_usage,d_mem_usage,e_instance_count,e_cpu_usage,e_mem_usage,f_instance_count,f_cpu_usage,f_mem_usage,g_instance_count,g_cpu_usage,g_mem_usage,h_instance_count,h_cpu_usage,h_mem_usage
2019-05-05 18:12:00,641016.9889,4151.851864,3076.790251,573104.3278,5062.477666,4363.855242,499588.0944,4472.15644,2725.736105,588945.4111,3892.970239,3048.180421,470376.2444,2859.674494,2655.826778,690340.2556,7153.213988,3840.542638,532200.3167,6102.429117,2838.06718,514403.7611,5001.871367,3339.277323
2019-05-05 18:15:00,640534.15,4219.380749,3078.102089,578392.85,5147.188469,4344.551785,506556.8389,4455.707319,2724.118252,598002.6056,3903.111161,3069.702712,477069.7333,2977.704169,2675.193042,694572.3889,7302.009375,3860.224042,524299.9833,5922.957683,2710.624932,527480.0,4812.529922,3344.605064
2019-05-05 18:18:00,642180.5667,4231.748992,3067.886883,575723.6444,5133.93866,4342.146841,509982.1833,4494.614679,2718.882333,597953.9167,3945.63507,3071.174197,476799.6667,3024.309641,2678.666117,695010.6611,7256.002143,3856.35361,517152.7278,5842.308269,2680.469532,506645.6444,4795.12725,3327.639917
2019-05-05 18:21:00,644764.7222,4204.861132,3081.327847,570111.0111,5112.353924,4344.387191,505385.2556,4461.655836,2697.623883,597294.0222,4014.058865,3074.142707,491164.4611,3139.812956,2699.54423,694476.6611,7165.260969,3850.388523,514878.7333,5868.027296,2701.924794,484174.0611,4808.784062,3323.386749
2019-05-05 18:24:00,646877.1889,4196.431795,3060.868262,568250.9944,4942.134184,4345.861139,490189.3778,4353.596407,2619.210385,595792.3833,3969.966648,3067.662319,493562.6556,2949.206157,2692.217737,694805.0167,7280.357511,3835.108702,525692.2389,5830.955189,2696.332732,486519.35,4724.878415,3332.307946
2019-05-05 18:27:00,644176.7889,4197.983415,3051.576221,565917.3056,4853.147989,4343.186288,495405.9722,4413.745817,2618.160086,591499.1944,3943.047857,3057.511045,474479.5167,2846.827903,2673.435762,694561.8333,7346.795767,3795.875078,531928.1556,5830.721584,2685.729723,501215.9556,4774.889662,3362.040435
2019-05-05 18:30:00,639759.5333,4230.772915,3049.122334,563218.6722,4899.75828,4327.500414,499556.7889,4157.490608,2625.430372,590091.3333,3803.573206,3030.299601,460138.0611,2735.095161,2646.903887,693101.1778,7343.69087,3767.098387,516346.7611,5826.706874,2599.792682,507331.1944,4710.595075,3358.445646
2019-05-05 18:33:00,640660.8833,4202.705612,3041.050041,566722.5056,4940.230941,4336.379795,480910.3444,4092.034524,2602.305455,580645.1389,3796.165852,3037.239214,468476.9722,2818.07073,2641.407861,688654.1278,7329.752997,3736.865507,503026.5278,5839.330853,2582.358404,483795.9778,4599.203275,3287.272212
2019-05-05 18:36:00,642874.5611,4182.872561,3045.421417,566285.9611,4972.956124,4341.48764,473316.9,3970.873312,2602.51025,581879.2056,3802.308865,3074.127464,497082.4722,3003.918619,2677.793343,693083.4,7314.747948,3731.474354,503804.9667,5906.174091,2627.330488,473510.9778,4415.754395,3250.300699
2019-05-05 18:39:00,649574.6111,4223.697726,3060.924774,561367.1722,4979.20014,4336.568163,473939.75,3975.864451,2586.03167,587379.2611,3787.226339,3104.962857,497513.5722,3012.364708,2680.862237,691460.3778,7329.608554,3723.107787,493068.1778,5846.075506,2577.233447,480086.7056,4418.447595,3249.339148
2019-05-05 18:42:00,656111.6333,4241.259027,3064.912472,562846.5444,4986.891809,4337.354144,473405.9333,3974.686859,2571.659479,576711.5056,3778.625487,3114.526536,482588.9,3000.041136,2669.434761,690194.0222,7339.343474,3716.496585,483416.2833,5776.734468,2532.119577,482777.4056,4447.134445,3246.893144
2019-05-05 18:45:00,661102.7667,4123.034624,3073.823022,561813.2278,4934.731976,4320.229882,472384.4667,3890.529715,2564.323619,569777.0278,3763.886549,3139.826414,484460.7556,2867.621993,2648.992358,687924.9611,7376.904598,3724.258149,483632.7167,5742.52346,2538.448852,492692.6278,4491.970687,3258.311923
2019-05-05 18:48:00,661303.9056,4062.189683,3067.707168,553590.0167,4913.880226,4306.933573,465203.85,3885.754462,2550.347518,562603.7944,3726.111093,3131.868551,507122.9833,2916.844728,2662.474269,687536.8111,7340.750582,3713.90999,484262.7778,5742.699849,2531.933835,497728.7944,4488.380838,3253.521015
2019-05-05 18:51:00,659718.7111,3970.595727,3073.844909,552703.7222,4892.599973,4312.070181,460770.1667,3891.251865,2550.645457,554984.0111,3684.387687,3121.112336,501682.7667,2917.901054,2659.924063,686242.1167,7239.114255,3700.33512,477397.2778,5739.734297,2513.824477,496808.3611,4494.922405,3249.244369
2019-05-05 18:54:00,657869.9778,3620.749902,3070.535277,552306.9056,4871.305464,4311.060855,467671.0167,3797.231615,2553.712722,553988.9889,3685.074823,3106.531662,477729.55,2958.692126,2645.743396,686423.3722,7262.286481,3699.048678,475186.6056,5726.945655,2493.927793,484029.9833,4441.031956,3233.272274
2019-05-05 18:57:00,659193.3778,3456.57933,3065.979998,553001.4778,4856.161763,4305.941344,470257.0944,3752.157561,2552.19831,556146.9333,3696.368642,3099.604527,487641.5889,3019.297208,2659.433719,686094.4833,7273.879926,3693.878423,479158.1833,5722.882099,2489.955617,488523.3278,4449.516569,3228.884252
2019-05-05 19:00:00,661428.8444,3191.50662,3058.351578,564628.6444,4948.028854,4298.486936,466705.0778,3777.592724,2545.871287,558671.1333,3812.050384,3100.283117,487606.4778,2717.520006,2649.830885,686835.3722,7499.256359,3690.340845,483468.1944,5821.94113,2521.317972,491547.4667,4378.958931,3226.94372
2019-05-05 19:03:00,664052.7778,3212.562296,3044.464992,567046.9722,4892.452477,4298.401862,461987.9667,3825.31863,2535.031935,557912.3444,3818.662407,3096.67093,462883.0944,2759.431302,2630.105805,688587.8889,7474.351841,3685.795541,484249.0444,5828.420897,2530.320662,491869.1333,4399.107448,3225.602828
2019-05-05 19:06:00,663289.8444,3215.010537,2994.58309,556933.4722,4781.264787,4291.552723,455450.1833,3984.833264,2532.834708,567382.5611,3831.611573,3104.089436,479898.1333,2942.539833,2651.570137,689837.2,7412.610878,3682.895668,484672.3222,5825.128074,2517.146836,486011.4,4394.990092,3224.845986
